Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_109.jpg;0;0.5998861;0;0.04713086;99.67654;85.59576;0.1939942;45.96917;-4.851196E-05
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_176.jpg;0;0.799677;0;0.05236458;99.68084;85.60021;0.3078464;45.88466;0.0004758723
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_243.jpg;0;0.9988709;0;0.1234244;99.68798;85.60757;0.4864043;45.93898;-0.001185147
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_309.jpg;0;1;0;0.1807427;99.70193;85.62193;0.7954107;45.95245;-0.0008883036
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_378.jpg;0;1;0;0.2262971;99.7148;85.63517;1.040229;45.83434;0.001113478
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_444.jpg;0;1;0;0.2948035;99.73019;85.65089;1.287958;45.7028;-0.001588367
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_511.jpg;0;1;0;0.3203261;99.74845;85.67008;1.235153;45.68349;-0.001963415
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_577.jpg;0;1;0;0.404456;99.76545;85.68739;1.14778;45.65861;-0.001347552
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_644.jpg;0;1;0;0.4756812;99.78526;85.70757;1.124459;45.67122;0.000322495
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_710.jpg;0;1;0;0.514943;99.81512;85.73791;1.155524;45.65199;-0.0001968615
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_777.jpg;0;1;0;0.553402;99.83982;85.76302;1.198645;45.70171;-0.001496299
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_843.jpg;0;1;0;0.6412774;99.86724;85.79097;1.246879;45.66891;-0.001165543
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_909.jpg;0;1;0;0.6845658;99.90522;85.8296;1.198902;45.65531;-0.0004759495
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_57_976.jpg;0;1;0;0.7331184;99.93684;85.86174;1.192126;45.61568;-0.0003671755
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_58_043.jpg;0;1;0;0.7973291;99.97042;85.89587;1.194189;45.5716;-0.0003268261
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_58_110.jpg;0;1;0;0.8544788;100.019;85.94518;1.215958;45.56658;-4.683469E-05
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_58_176.jpg;0;1;0;0.9068843;100.058;85.98466;1.226678;45.58403;-0.00133438
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_58_243.jpg;0;1;0;0.9708561;100.0988;86.02598;1.221902;45.60798;-0.0006746612
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_58_310.jpg;0;1;0;1.019534;100.1564;86.08429;1.213108;45.6432;-0.001027293
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_58_376.jpg;0;1;0;1.067315;100.2022;86.13071;1.224032;45.65115;-0.0009236471
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_58_442.jpg;0;1;0;1.130592;100.2498;86.17902;1.224194;45.63868;-0.0007719075
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_58_510.jpg;0;1;0;1.177793;100.3162;86.24648;1.224776;45.65031;-0.001070129
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_58_576.jpg;0;1;0;1.222907;100.3684;86.29938;1.226851;45.61303;-0.0007299303
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_58_642.jpg;0;1;0;1.283675;100.4226;86.35436;1.233853;45.57767;-0.0007521088
/Users/hyungsukkang/RoboND-Rover-Project/IMG/robocam_2017_10_17_04_45_58_709.jpg;0;1;0;1.330156;100.498;86.43069;1.240605;45.55005;-0.0008299024
